object,type,subject,name
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 01|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 17|at flowering,contains,at flowering,cxgn_time_ontology
"Number of suckers: count|cycle 1|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 24|at flowering,contains,at flowering,cxgn_time_ontology
Root necrosis caused by nematodes in percent|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 0|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 27|at flowering,contains,at flowering,cxgn_time_ontology
Functional leaf number: count|cycle 2 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 2 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 20 cm from the collar|cycle 2 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 2 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 23|at flowering,contains,at flowering,cxgn_time_ontology
"Number of standing leaves: count|cycle 3|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 25|at flowering,contains,at flowering,cxgn_time_ontology
"Number of standing leaves: count|cycle 2|""shooting""",contains,at flowering,cxgn_time_ontology
Weevils damage to corm cortex cross-section %|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
"Number of standing leaves: count|cycle 1|""shooting""",contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
number of functional roots|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 26|at flowering,contains,at flowering,cxgn_time_ontology
"Number of hands in bunch: count|cycle 3|""shooting""",contains,at flowering,cxgn_time_ontology
number of functional roots|cycle 3|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 27|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 08|at flowering,contains,at flowering,cxgn_time_ontology
number of functional roots|cycle 2|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf black streak|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
"Number of hands in bunch: count|cycle 2|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 22|at flowering,contains,at flowering,cxgn_time_ontology
Plant height 1-3|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Suckering behavior 1-3|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf spotted rank|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Index of non-spotted leaves: calculation|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
"Number of hands in bunch: count|cycle 1|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 21|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease infection index|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant height 1-3|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Suckering behavior 1-3|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf spotted rank|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 30|at flowering,contains,at flowering,cxgn_time_ontology
Weevils damage to corm cortex cross-section %|cycle 2|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 30|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 23|at flowering,contains,at flowering,cxgn_time_ontology
"Number of functional leaves: count|cycle 3|""shooting""",contains,at flowering,cxgn_time_ontology
plant circumference from the collar|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
"Number of functional leaves: count|cycle 2|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 16|at flowering,contains,at flowering,cxgn_time_ontology
Number of spotted leaves: count|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 20|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 25|at flowering,contains,at flowering,cxgn_time_ontology
number of functional roots|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 29|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 28|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 05|at flowering,contains,at flowering,cxgn_time_ontology
"Number of functional leaves: count|cycle 1|""shooting""",contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Tallest sucker height in cm|cycle 1 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Tallest sucker height in cm|cycle 2 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Tallest sucker height in cm|cycle 3 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 19|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 6|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
bunch weight|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of peeper suckers: count|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of peeper suckers: count|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of peeper suckers: count|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 5|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 2|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 4|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 28|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 18|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 27|at flowering,contains,at flowering,cxgn_time_ontology
Weevils damage to corm cortex cross-section %|cycle 3|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 29|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 26|at flowering,contains,at flowering,cxgn_time_ontology
"Tallest sucker height in cm|cycle 3|""shooting""",contains,at flowering,cxgn_time_ontology
Weevils damage to lower cross-section outer corm %|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 25|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 18|at flowering,contains,at flowering,cxgn_time_ontology
Weevils damage to lower cross-section outer corm %|cycle 3|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 24|at flowering,contains,at flowering,cxgn_time_ontology
"Tallest sucker height in cm|cycle 2|""shooting""",contains,at flowering,cxgn_time_ontology
Weevils damage to lower cross-section outer corm %|cycle 2|at flowering,contains,at flowering,cxgn_time_ontology
Weevils damage to corm cortex cross-section %|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 23|at flowering,contains,at flowering,cxgn_time_ontology
"Tallest sucker height in cm|cycle 1|""shooting""",contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 30|at flowering,contains,at flowering,cxgn_time_ontology
Weevils damage to lower cross-section outer corm %|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 1 main plant|leaf rank 22|at flowering,contains,at flowering,cxgn_time_ontology
Rank of oldest standing leaf: count|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
